    {19, "新手"}
    {863, "#e欢迎来到测试世界。#n\r\n这里是首先测试正式世界修正与新增内容的测试服务器。存在以下限制。\r\n\r\n#b1. 在测试世界中，为了测试方便，角色的成长速度很快。这些信息不会转移到正式世界。\r\n2. 测试世界中的角色信息不会\r\n与正式世界共享。\r\n3. 测试世界中的角色信息可能随时被重置，恕不另行通知。\r\n4. 测试世界的服务可能随时结束，恕不另行通知。\r\n5. 在此测试的内容并非全部都会转移到正式世界。\r\n6. 测试过的信息在转移到正式世界后可能会有所变更。\r\n"}
    {864, "选择...."}
    {865, "男"}
    {866, "女"},
    {1280, "请输入留言。"},
    {1281, "黑板已关闭。"},
    {1282, "此处无法使用黑板。"},
    {1824, "[必需]"},
    {1859, "力量 : "},
    {1860, "敏捷 : "},
    {1861, "智力 : "},
    {1862, "幸运 : "},
    {2253, "奥西里亚。"},
    {2259, "进入第 %n 轮。"},
    {2260, "进入半决赛。"},
    {2261, "进入决赛。"},
    {2268, "当前时段无法购买道具。"},
    {2271, "因轮空自动进入第 %n 轮。"},
    {2272, "因轮空自动进入半决赛。"},
    {2273, "因轮空自动进入决赛。"},
    {2303, "本客户端只能在韩语代码页下运行"},
    {2304, "初始化 COM 失败"},
    {2365, "收到留言。"},
    {2366, "你收到了 "},
    {2367, " 条留言。"},
    {2377, "请确认收件角色名。 "},
    {2379, "留言最多可发送 100 个字符。"},
    {2425, "此处没有平台。"},
    {2427, "请输入内容。 "},
    {2428, "不能给自己发送留言。"},
    {2429, "留言已成功发送"},
    {2434, "该角色目前已屏蔽悄悄话，可能无法收到回复。"},
    {2470, "没有可以发送悄悄话的对象。"},
    {2509, "收件角色名："},
    {2537, "HP 不足，无法使用该技能。"},
    {2538, "MP 不足，无法使用该技能。"},
    {2539, "金币不足，无法使用该技能。"},
    {2541, "飞镖不足，无法使用该技能。"},
    {2542, "当前装备的武器无法使用该技能。"},
    {2543, "当前属性无法使用该武器。"},
    {2544, "未使用武器，无法进行攻击。"},
    {2545, "只能对自动 HP 药水袋使用。"},
    {2546, "箭矢已用尽。"},
    {2547, "飞镖已用尽。"},
    {2560, "该礼包不支持此选项。"},
    {2577, "GM 无法创建组队。"},
    {2578, "GM 无法加入组队。"},
    {2579, "按价格排序。"},
    {2580, "按人气排序"},
    {2581, "按最新道具排序。"},
    {2589, "当前无法截图，请稍后再试。"},
    {2607, "技能已被封印，无法使用。"},
    {2608, "处于虚弱状态，无法跳跃。"},
    {2609, "处于眩晕状态，无法移动。"},
    {2610, "受到诅咒，获得的经验值将减少。"},
    {2611, "处于黑暗状态，命中率下降。"},
    {2612, "处于中毒状态，HP 会持续减少。"},
    {2622, "开店前若移动，可能导致无法开店。"},
    {2623, "买家金币不足，无法继续交易。"},
    {2624, "道具价格过高，无法交易。"},
    {2649, "无法传送到该地图。"},
    {2651, "该地图无法从列表中进入。"},
    {2653, "你已进入过该地图。"},
    {2654, "这是你当前所在的地图。"},
    {2674, "排行榜不可用"},
    {2681, "该道具无法捡取。"},
    {2682, "无法前往该地点。"},
    {2693, "无法发送消息。警告前请先输入角色名。"},
    {2694, "警告已成功发送。"},
    {2701, "已成功举报该用户。"},
    {2702, "找不到该用户。"},
    {2703, "每天最多只能举报 10 次。"},
    {2704, "你已被其他用户举报给 GM。"},
    {2705, "因未知原因请求失败，请稍后再试。"},
    {2762, "椰子季节开始了！"},
    {2765, "椰子季节游戏已结束，即将移动到其他地图，请稍候。"},
    {2768, "比赛打成平局，加时 2 分钟。"},
    {2769, "若加时 2 分钟后仍为平局，双方均视为失败，不予发放奖励。"},
    {2770, "Maple 队与 Story 队的比赛打成平局。"},
    {2771, " Maple 队胜利！"},
    {2772, " Story 队胜利！"},
    {2774, "雪球游戏已结束，即将移动到其他地图，请稍候。"},
    {2786, "特别制作： "},
    {2809, "不能给自己赠送礼物。"},
    {2810, "留言不能超过 72 个字符。"},
    {2811, "请输入留言。"},
    {2812, "给你送来了礼物。"},
    {2813, "请输入消息。"},
    {2815, "折扣价 : "},
    {2846, "找不到该用户。"},
    {2847, "无法对未处于攻击状态的用户使用。"},
    {2848, "该用户已经接受过检测。"},
    {2849, "该用户正在接受测谎检测。"},
    {2850, "感谢配合测谎检测。因未使用外挂，你将获得 5000 金币奖励。"},
    {2851, "测谎检测确认你使用了外挂。多次未通过检测将受到游戏限制。"},
    {2855, "测谎检测过程中无法使用。"},
    {2858, "等级不足，无法使用所选道具。"},
    {2859, "该用户未通过测谎检测，你将获得该用户的 7000 金币。"},
    {2861, "在传送门附近无法使用时空门技能。"},
    {2914, "所有人可用"},
    {2915, "除新手外的所有用户。"},
    {2918, "第1次转职"},
    {2919, "第2次转职"},
    {2920, "第3次转职"},
    {2921, "第4次转职"},
    {2923, "至少完成第1次转职"},
    {2924, "至少完成第2次转职"},
    {2925, "至少完成第3次转职"},
    {2926, "至少完成第4次转职"},
    {2934, "确定要退出吗？"},
    {2940, "副族长"},
    {2952, "此优惠券仅限首次购买现金道具的用户使用。"},
    {2953, "正在向其他家族成员征求创建家族的同意，请稍候……"},
    {2954, "有人不同意创建家族……等你找到合适的人再来找我吧……只有获得所有人同意后才能创建家族……"},
    {2955, "该名称已被使用……请换一个试试……"},
    {2957, "家族已解散……想再次创建家族时再来找我吧……"},
    {2959, "在征求创建家族同意的过程中发生问题……请稍后再试……"},
    {2960, "在创建家族的过程中发生问题……请稍后再试……"},
    {2961, "在解散家族的过程中发生问题……请稍后再试……"},
    {2962, "在扩充家族的过程中发生问题……请稍后再试……"},
    {2963, "该道具上已经印有名称了……"},
    {2974, "已保存。"},
    {2980, "要保存修改吗？"},
    {2993, "      动物"},
    {2994, "      植物"},
    {2995, "      图案"},
    {2996, "      文字"},
    {2997, "      其他"},
    {3019, "要将其保存为家族徽章吗？"},
    {3020, "已完成。"},
    {3024, "无法移动到该频道，请稍后再试。"},
    {3025, "无法进入商城，请稍后再试。"},
    {3027, "* 家族公告"},
    {3029, "请输入家族公告。"},
    {3031, "GameGuard 已在运行。请重启后再试。"},
    {3032, "客户端已重复运行，或 GameGuard 已经打开。请关闭游戏后重新启动客户端。"},
    {3034, "GameGuard 文件损坏或缺失。建议运行 GameGuard 安装程序来解决。"},
    {3036, "运行 GameGuard 时发生错误。请重新安装 GameGuard 后再启动客户端。"},
    {3037, "检测到外挂程序。请关闭所有不必要的程序后重新打开游戏。"},
    {3038, "你在更新过程中按下了取消。若是因为连接中断，请检查网络连接、防火墙设置，或重试一次。"},
    {3039, "检测到已安装的程序与 GameGuard 发生冲突。"},
    {3040, "无法连接 GameGuard 更新服务器。请稍后重试，或检查网络连接。"},
    {3041, "更新过程中发生错误。若你使用了电脑维护类程序，请临时关闭杀毒软件后重启客户端，或修改系统设置。"},
    {3043, "处理 GameGuard 时发生错误。请找到冒险岛文件夹中 GameGuard 目录下的 *.erl 文件，并以附件形式发送到 game@inca.co.kr。"},
    {3044, "检测到外挂行为，冒险岛将被关闭。如有疑问，请通过官网联系我们。"},
    {3045, "收到了礼物。"},
    {3046, "的人气上升了 +1。"},
    {3058, "泄露个人信息"},
    {3059, "举报使用非法程序"},
    {3063, "你已被用户举报。"},
    {3064, "举报系统目前正在维护检查中。 "},
    {3065, "请稍后再试。"},
    {3066, "请重新确认角色名后再试。"},
    {3067, "金币不足，无法举报。"},
    {3068, "无法连接服务器。"},
    {3069, "已超出可举报的次数。"},
    {3070, "该地图中没有可举报的角色。"},
    {3073, "请输入举报理由。"},
    {3077, "请选择。"},
    {3078, "请选择要举报的角色。"},
    {3095, "该道具无法封印。 "},
    {3096, "请选择要封印的道具。 "},
    {3103, "该道具无法孵化。"},
    {3104, "请选择要孵化的道具 "},
    {3110, "在迷你蛋中发现了道具。"},
    {3111, "只能对自动 MP 药水袋使用。"},
    {3113, "缺少宠物要使用的 HP 药水。"},
    {3114, "缺少宠物要使用的 MP 药水。"},
    {3115, "当 HP 低于 HP 警告设置时，宠物会自动使用一次药水。"},
    {3116, "当 MP 低于 MP 警告设置时，宠物会自动使用一次药水。"},
    {3117, "完成任务需要解除任务道具的封印。"},
    {3140, "你的商店已被 GM 强制关闭。请找弗里德找回道具。"},
    {3147, "你目前无法开店。"},
    {3148, "在传送门附近无法开店。"},
    {3156, "该道具只能出售一个。"},
    {3157, "该道具只能拥有一个。"},
    {3159, "我爱冒险岛！"},
    {3164, "确定要取回吗？"},
    {3165, "你已取回道具和金币。"},
    {3170, "请到弗里德处取回你的道具。"},
    {3182, "缺少1级或2级技能。"},
    {3183, "缺少1级技能。"},
    {3184, "缺少1转、2转或3转技能。"},
    {3202, "请重新确认电话号码。"},
    {3203, "请重新确认身份证号码。"},
    {3204, "请重新确认输入的通信公司。"},
    {3205, "请重新确认验证码。"},
    {3209, "变身状态下无法使用。请右键点击右上角的图标取消变身。"},
    {3215, "剩余成员不足 6 人，任务无法继续。家族任务将在 5 秒后结束。"},
    {3216, "报名者已掉线，任务无法继续。家族任务将在 5 秒后结束。"},
    {3228, "你已经申请过了。"},
    {3240, "发生未知错误。"},
    {3241, "捡取道具"},
    {3242, "使用 HP 药水"},
    {3243, "使用 MP 药水"},
    {3244, "扩大移动范围"},
    {3245, "捡取道具"},
    {3246, "捡取无归属道具"},
    {3247, " 请用左右按钮选择要使用卷轴的宠物。"},
    {3248, "要退出这个聊天室吗？"},
    {3263, "还无法使用该技能。"},
    {3264, "只有装备单手武器时才能使用该技能。"},
    {3280, "第4次转职"},
    {3290, "搜索结果"},
    {3291, "你所输入的内容。"},
    {3292, "共有 "},
    {3293, "条结果。"},
    {3297, "无法前往"},
    {3299, "只能在自由市场内使用。"},
    {3307, "每捆数量"},
    {3308, "每捆价格"},
    {3309, "已售总数"},
    {3332, "按开始键开始游戏。"},
    {3335, "恭喜你完成 10 连胜挑战！"},
    {3336, "因超过时间限制而输掉了比赛。按重新开始可再次挑战，需要支付 1000 金币的参赛费。"},
    {3337, "这是 500 金币的安慰奖。按重新开始可再次挑战，需要支付 1000 金币的参赛费。"},
    {3338, "按重新开始可再次挑战，需要支付 1000 金币的参赛费。"},
    {3339, "只有其他栏背包中至少有 1 个空位时才能参加该游戏。"},
    {3340, "金币不足，无法支付 1000 金币的参赛费。"},
    {3352, "[周二]"},
    {3354, "[周四]"},
    {3359, "上午 %2d:00 至 "},
    {3360, "下午 %2d:00 至 "},
    {3361, "上午 %2d"},
    {3362, "下午 %2d"},
    {3363, "该道具数量有限。"},
    {3366, "该道具仅在本次限时期间出售。"},
    {3367, "赶快行动！"},
    {3368, "[ 限时出售指南 ]"},
    {3375, "请输入对方的角色名。"},
    {3377, "正在等待她的答复……"},
    {3378, "你们已订婚。"},
    {3379, "你们已结婚！"},
    {3380, "输入的角色名有误。"},
    {3381, "对方必须与你处于同一地图。"},
    {3382, "其他栏背包已满，请先清理一些道具。"},
    {3383, "对方的其他栏背包已满。"},
    {3384, "不能与同性订婚。"},
    {3385, "你已订婚。"},
    {3386, "你已结婚。"},
    {3387, "她已订婚。"},
    {3388, "此人已结婚。"},
    {3389, "你正在求婚或已被求婚。"},
    {3390, "她目前正被其他求婚者追求。"},
    {3391, "很遗憾，向你求婚的人已取消订婚请求。"},
    {3392, "预约后无法解除婚约。"},
    {3393, "她婉言拒绝了你的订婚请求。"},
    {3394, "预约已取消，请稍后再试。"},
    {3396, "你的婚约已解除。"},
    {3398, "你们已解除婚姻关系。"},
    {3400, "该邀请函无效。"},
    {3425, "每个心愿单只能赠送一份礼物。"},
    {3428, "请输入宾客姓名。"},
    {3435, "要为这对新人送上祝福吗？"},
    {3438, "请输入标题。"},
    {3439, "请输入内容。"},
    {3440, "确定要删除该帖子吗？"},
    {3481, " 金币 "},
    {3495, "因未能保护好月兔，你已被移动到流放地图。"},
    {3497, "可怜的野猪死了。"},
    {3498, "你被诱惑了，无法移动。"},
    {3503, "向历经无数次挑战终于击败暗黑龙王的勇士们致敬！你们才是神木村真正的英雄！！"},
    {3507, "月兔身体不适。请保护好它，让它做出美味的年糕。"},
    {3508, "泰勒斯正处于危险之中，请保护他。"},
    {3509, "看守猪正处于危险之中，请保护它！"},
    {3517, "该道具只能在有宠物时使用。"},
    {3527, "怪物装备."},
    {3528, "宠物装备."},
    {3530, "该技能需要捕获的怪物和马鞍。"},
    {3531, "骑乘捕获的怪物时无法使用。"},
    {3533, "无法骑乘该捕获的怪物。"},
    {3541, "成功捕获了怪物。"},
    {3542, "该区域没有可捕获的怪物。"},
    {3562, "精通之书发出耀眼的光芒，现有技能得到了强化。"},
    {3563, "技能之书发出耀眼的光芒，已添加新技能。"},
    {3588, "收到的包裹可以通过快递 NPC 领取。 "},
    {3590, "快递已送达！"},
    {3593, "该道具已无法使用。请将道具重新出售给附近的商店。"},
    {3594, "已超出系统允许的上限。"},
    {3620, "非 GM 角色试图发送 GM 消息。"},
    {3622, "输入的用户名有误。"},
    {3623, "你没有输入收件人名称。"},
    {3625, "收件人不在线。"},
    {3628, "要使用白衣卷轴吗？"},
    {3629, "白衣卷轴已使用。"},
    {3630, "道具强化失败，但因使用了白衣卷轴，可强化次数得以保留。"},
    {3631, " 道具强化成功，过程中使用了白衣卷轴。"},
    {3654, "找不到任何角色。"},
    {3655, "你已连接到服务器。"},
    {3656, "未知错误：查看全部角色。"},
    {3666, "宠物未装备，或该道具不适用于你的宠物。"},
    {3667, "双击道具即可预览。"},
    {3668, "从 %02d:00 至 %02d:00"},
    {3670, "无法攻击目标：距离太远。"},
    {3671, "无法转移 20 级以下的角色。"},
    {3699, "任务来了！ 双击角色上方的图标。"},
    {3707, "CP 不足，无法继续。"},
    {3708, "无法再召唤怪物。"},
    {3709, "无法再召唤该存在。"},
    {3710, "该存在已被召唤。"},
    {3713, "很遗憾，你在怪物狂欢中失败了。稍后将被移动到其他场所，请稍候。"},
    {3714, "加时赛后怪物狂欢以平局结束。稍后将被移动到其他场所，请稍候。"},
    {3715, "因对方队伍过早离开，怪物狂欢被迫结束。稍后将被移动到其他场所，请稍候。"},
    {3740, "自动锁定已关闭。"},
    {3741, "自动锁定已开启。"},
    {3742, "获得的可用 CP"},
    {3744, "比赛将根据两队获得的总 CP 决定胜负。 "},
    {3745, "组长可以使用组员的 CP"},
    {3746, "比较两队获得的总 CP 来决出胜者。 "},
    {3752, "植物还没有发芽。"},
    {3753, "第 1 阶段：非常小的嫩芽。"},
    {3754, "第 2 阶段：嫩芽长大了一点点。"},
    {3755, "第 3 阶段：嫩芽长大了一些。"},
    {3756, "第 4 阶段：嫩芽长大了很多。"},
    {3757, "第 5 阶段：嫩芽长得非常大了。"},
    {3758, "第 6 阶段：植物很快就要结果了。"},
    {3759, "第 7 阶段：植物已经结果了。"},
    {3766, "无法对该道具使用卷轴。"},
    {3770, "题目："},
    {3772, "[输入答案]"},
    {3773, "请在限定时间内输入答案。"},
    {3776, "答题过程中无法进行该操作。"},
    {3777, "已超过时间限制！"},
    {3778, "自动提醒开启"},
    {3779, "自动提醒关闭"},
    {3780, "点击后，进行中的任务将自动登记；若 10 分钟内没有进展，登记将消失。 "},
    {3781, "点击后，即使任务正在进行，也不会自动登记。"},
    {3786, "组队任务道具"},
    {3797, "即将过期"},
    {3798, "确定要取消吗？"},
    {3799, "你没有快递优惠券。"},
    {3800, "必须选择要发送的金币或道具。"},
    {3801, "请输入收件人名称。"},
    {3804, "要发送多少个？"},
    {3805, "金币不足。"},
    {3806, "请求有误。"},
    {3807, "请再次确认收件人名称。"},
    {3809, "收件人的包裹保管箱已满。"},
    {3810, "该角色无法接收包裹。"},
    {3812, "包裹已成功发送。"},
    {3813, "发生未知错误。"},
    {3824, "请选择要领取的包裹。"},
    {3828, "无等级限制"},
    {3830, "已成功删除。"},
    {3831, "已成功领取。"},
    {3847, "冒险岛中有玩家想给你发送消息。"},
    {3849, "你可以将 "},
    {3850, "角色名改为  "},
    {3852, "(一次)"},
    {3856, "不标记"},
    {3857, "只标记名称"},
    {3858, "只标记 HP"},
    {3859, "标记名称和 HP"},
    {3860, "不能封禁族长。"},
    {3866, "扎昆祭坛已关闭。"},
    {3869, "该道具无法装备到当前宠物上。"},
    {3871, "只能交给附近的组队成员。"},
    {3872, "无法移交组长职位；组长附近目前没有组队成员。 "},
    {3878, "[配偶]"},
    {3890, "使用喇叭最多可发送 60 个字符。"},
    {3900, "此处无法使用该道具。"},
    {3907, "在此处使用不合适。"},
    {3957, "设置 "},
    {3967, "道具交易系统目前不可用，请稍后再试。"},
    {3968, "你没有登记任何道具。"},
    {3971, "道具交易商店目前不可用，请稍后再试。"},
    {3972, "该功能目前不可用。"},
    {3973, "扣除 5% 手续费后通知卖家价格。"},
    {3987, "无法连续竞标。"},
    {3992, "一口价低于起拍价。"},
    {3997, "此内容正在建设中。"},
    {4004, "请输入数字"},
    {4005, "确定要取消出售吗？"},
    {4007, "已成功登记出售道具。"},
    {4008, "确定要出售该道具吗？"},
    {4009, "已成功申请出售道具。"},
    {4010, "申请出售道具失败。"},
    {4011, "Nexon 点券不足。"},
    {4013, "使用 Nexon 点券时发生错误。"},
    {4014, "背包已满。"},
    {4015, "列表读取失败。"},
    {4016, "已成功取消出售。"},
    {4017, "道具已转移。"},
    {4019, "无法将道具放入购物车。"},
    {4020, "已成功从购物车中删除道具。"},
    {4021, "无法从购物车中移除道具。"},
    {4022, "没有登记出售的道具。"},
    {4023, "购买列表读取失败。"},
    {4024, "已成功申请购买道具。"},
    {4025, "申请购买道具失败。"},
    {4026, "购买申请已取消。"},
    {4027, "取消购买申请失败。"},
    {4028, "已成功购买道具。"},
    {4029, "购买道具失败。"},
    {4032, "已成功登记到 [收购]。"},
    {4033, "登记到 [收购] 失败。"},
    {4035, " 金币"},
    {4036, "(7天)"},
    {4037, "请输入至少 1 个字符。"},
    {4038, "搜索结果为 0 条。"},
    {4039, "确定要购买吗？"},
    {4042, "该道具已取消或售罄。"},
    {4045, "因人数限制，无法进入交易商店。"},
    {4046, "该道具无法出售。"},
    {4047, "因最低等级限制，无法进入交易商店。"},
    {159, "解除封锁成功"},
    {25, "可使用"},
    {26, "超级GM"},
    {27, "剑士"},
    {39, "魔导师"},
    {40, "大魔导师"},
    {42, "魔导师(火,毒)"},
    {43, "大魔导师(火,毒)"},
    {45, "魔导师(冰,雷)"},
    {46, "大魔导师(冰,雷)"},
    {50, "弓箭手"},
    {53, "神射手"},
    {60, "夜行者"},
    {63, "侠盗"},
    {65, "死亡状态下无法进行。"},
    {66, "要返回主菜单吗？"},
    {655, "不可交易"},
    {711, "悄悄话"},
    {779, "金币"},
    {3977, "已售出"},
    {3978, "已购买"},
    {3979, "竞标失败"},
    {3980, "已取消"},
    {3981, "展示"},
    {3998, "出售中"},
    {3999, "求购"},
    {4000, "拍卖"},
    {4002, "角色"},
    {580, " 弓"},
    {583, "帽子"},
    {586, "耳环"},
    {587, "套服"},
    {588, "上衣"},
    {589, "裤/裙"},
    {590, "鞋子"},
    {591, "手套"},
    {592, "披风"},
    {593, "盾牌"},
    {594, "戒指"},
    {595, "坠子"},
    {597, "武器"},
    {598, "药水类"},
    {602, "召唤"},
    {603, "战利品"},
    {604, "矿石"},
    {605, "游戏"},
    {643, "	%s / %s /%s / 高级"},
    {644, "在线好友 / 登录好友总数"},
    {645, "离线好友 / 登录好友总数"},
    {646, "[当前登录好友/最大登录好友]"},
    {647, "在线家族成员 / 登录家族成员总数"},
    {648, "离线家族成员 / 登录家族成员总数"},
    {649, "在线组队成员 / 登录组队成员总数"},
    {651, "当前登录人数 / 最大容量"},
    {148, "'%s' 位于 '%s'。"},
    {150, "'%s' 目前在 '%s'。"},
    {152, "'%s' 目前屏蔽了悄悄话。"},
    {158, "屏蔽失败。"},
    {161, "解除屏蔽失败。"},
    {167, "改名成功。"},
    {168, "改名失败 - 找不到雇佣商人。"},
    {169, "雇佣商人位置 : %s"},
    {243, "注意！我是雅典娜·皮尔斯！大批怪物正向弓箭手村进发！所有勇敢的战士请立即前往弓箭手村！战斗开始！"},
    {244, "注意！我是老格林德尔！大批怪物正向魔法密林进发！所有勇敢的战士请立即前往魔法密林！我们必将胜利！"},
    {245, "注意！我是与巴洛共舞！大批怪物正向勇士部落进发！所有勇敢的战士请立即前往勇士部落！愿你的剑与意志同样坚强！"},
    {246, "注意！我是黑暗领主！大批怪物正向废弃都市进发！所有勇敢的战士请立即前往废弃都市！让敌人知道挑衅我们的下场！"},
    {247, "注意！我是维金！大批怪物正向明珠港进发！所有勇敢的战士请立即前往明珠港！战斗的时刻到了！"},
    {248, "注意！我是埃里克森！大批怪物正向天空之城进发！所有勇敢的战士请立即前往天空之城！奋力战斗，打出威风！"},
    {249, "注意！我是马塞尔！大批怪物正向玩具城进发！所有勇敢的战士请立即前往玩具城！让这些家伙知道我们不是好惹的！"},
    {250, "注意！这是一通求救信号！大批怪物正向童话村进发！所有勇敢的战士请立即前往童话村！愿枫树之灵指引你的武器！"},
    {253, "怪物开始了残酷的进攻！守住阵地，坚持到底，保护村庄！"},
    {254, "干得漂亮！多亏你出色的战斗技巧，村庄安然无恙地抵挡住了怪物的入侵。如果你是收集到「黑暗之力」的人，请前往附近的冒险岛管理员处。再次感谢！"},
    {276, "网吧经验值加成 (+%d)"},
    {323, "%s 目前不接收家族邀请消息。"},
    {324, "%s 拒绝了你的家族邀请。"},
    {325, "%s 你已加入家族。"},
    {399, "%d 个换 %s 金币。"},
    {446, "对手请求撤回\r\n上一步棋。\r\n是否接受？"},
    {472, "%s 增加背包栏位。(%d NX 点券)\r\n确认购买背包栏位吗？"},
    {493, "%s (%d NX 点券)\r\n要将该道具作为礼物送给\r\n'%s' 吗？"},
    {552, "%s 增加 %d 个 %s 栏位。(当前: %d 个)\r\n最多可使用 %d 个栏位。"},
    {560, "%d 冒险岛点数"},
    {665, "当前登录好友  [%d/%d]"},
    {722, "邀请 : /invite 角色名"},
    {746, "为保护隐私，\r\n请输入 8 位生日代码。\r\n例) 年/月/日 -> 19820911"},
    {780, "%s 金币 / 充值 : %d"},
    {1253, "由于本世界同时在线人数较多，\r\n游戏过程中可能会遇到一些困难。"},
    {1254, "本世界同时在线人数\r\n已达上限。\r\n请稍后再试。"},
    {1622, "[位置] 地图 : %09d  X : %d  Y : %d"},
    {1768, "经验值 : %d / %d"},
    {1976, "错误代码 : %d (%s)"},
    {1977, "错误代码 : %d (%s)\r\n%s"},
    {2269, "该道具已售罄，\r\n无法出售。"},
    {2351, "购买数量 : %d"},
    {2352, "总销售额 / 总收入"},
    {2364, "所有未保存的留言将被删除。\r\n确定要继续吗？"},
    {2376, "对方角色已在线。\r\n请使用悄悄话功能，"},
    {2378, "收件人的收件箱已满。\r\n请稍后再试。"},
    {2426, "请输入\r\n收件角色名。"},
    {2439, "'%s' 正在处理其他邀请。"},
    {2474, "你收到了 \r\n [%s]\r\n %d 份来自 '%s' 的礼物"},
    {2515, "[%s]\r\n已过期，\r\n将从背包中删除。 "},
    {2536, "你可以在\r\n%s/%2d/%4d %2d:00 %s 之后登录"},
    {2540, "%s 不足，无法使用该技能。"},
    {2571, "该 ID 已被永久封锁。\r\n你无法再使用此账号。"},
    {2584, "道具 [%s] 已过期，已从背包中删除。"},
    {2594, "测试版 %d.%d"},
    {2648, "%s 目前难以定位，\r\n无法进行传送。"},
    {2650, "无法将自己指定为\r\n传送对象。"},
    {2652, "传送列表已满。\r\n请先删除一条记录后再试。"},
    {2655, "7 级以下的用户\r\n不能离开枫叶岛。"},
    {2656, "要从传送列表中增加\r\n这张地图吗？\r\n[%s]"},
    {2657, "要从传送列表中删除\r\n这张地图吗？\r\n[%s]"},
    {2658, "要传送到这张地图吗？\r\n[%s]"},
    {2663, "你已拥有该道具，\r\n无法购买。"},
    {2664, "你已拥有该道具，\r\n无法转移。"},
    {2665, "使用安全护符后经验值没有下降。(剩余 %d 天/%d 次)"},
    {2666, "使用 %s 后经验值没有下降。"},
    {2675, "排名第 %d 位"},
    {2710, "商城目前\r\n无法使用。\r\n敬请期待……"},
    {2763, "Maple 队的 %s 打下了一个椰子。"},
    {2767, "合计:%d Maple:%d Story:%d"},
    {2773, " 有 %d 人在极速 OX 答题中被淘汰。"},
    {2808, "请输入\r\n收件角色名。"},
    {2814, "原价 : %d 点券"},
    {2834, "可使用至 %d/%d/%04d %02d:%02d"},
    {2854, "%s 接受了测谎检测。"},
    {2912, "%d 级以上 "},
    {2913, "%d 级以下 "},
    {2916, "除 %s 外所有人可用"},
    {2917, "第 %d 次转职"},
    {2922, "至少完成第 %d 次转职"},
    {2928, "于 %d/%d/%04d %02d:00 结束"},
    {2933, "因未知错误，\r\n任务已结束。"},
    {2935, "%s 道具栏已满。"},
    {2947, "你在该网吧还剩余 %s%s"},
    {2951, "这是 Nexon 点券券号。\r\n请在 www.nexon.net 注册你的券号。"},
    {2956, "恭喜~  %s 家族已在我们家族办事处登记……  祝你们好运~"},
    {2958, "恭喜~  家族成员人数已增加到 %d 人……  有需要随时来找我。"},
    {2964, "要在 %s 上印上你的名字吗？"},
    {2973, "[%s] 的职位已变更为 [%s]。"},
    {2977, "请输入\r\n想要变更的职位。"},
    {2978, "无法删除该职位，因为\r\n存在比该职位更低的阶级。"},
    {2979, "无法删除该职位，\r\n因为仍有成员\r\n处于该职位。"},
    {3026, "[%s] 任务已过期，已从任务列表中删除。"},
    {3028, "* 家族公告 : %s"},
    {3030, "GameGuard: 初始化错误 (%d)\r\n\r\n"},
    {3033, "重置 GameGuard 时发生错误。请先重启系统再启动客户端，或关闭所有可能与客户端冲突的程序后再启动。同时建议对系统进行病毒/间谍软件检查。"},
    {3035, "Windows 系统文件已损坏。建议对系统进行病毒检查，并升级/重新安装 Internet Explorer 来解决。"},
    {3042, "加载病毒/外挂检测工具时发生错误。这可能是内存不足或感染病毒所致。"},
    {3053, "辱骂/不当内容"},
    {3057, "冒充 GM"},
    {3060, "举报已成功登记。\r\n本周你还可举报 %d 次。"},
    {3061, "举报已成功登记。\r\n本周你已没有举报次数。"},
    {3062, "举报已成功提交。\r\n今天无法再举报。"},
    {3072, "你的聊天功能将在 %04d/%d/%d 之后恢复。"},
    {3074, "只能在 %d 到 %d 之间举报。 "},
    {3091, "%s 队的雪球已通过第 %d 阶段。"},
    {3092, "%s 队正在攻击雪人，阻碍了 %s 队雪球的前进。"},
    {3093, "%s 队的雪球重新开始移动。"},
    {3094, "封印的道具无法\r\n出售、交易或丢弃。"},
    {3097, "该道具封印后\r\n将无法使用。"},
    {3098, "%s\r\n要封印该道具吗？"},
    {3105, "需要至少 1 个装备栏、3 个消耗栏和 1 个其他栏空位。\r\n要孵化迷你蛋吗？"},
    {3109, "背包已满。\r\n请稍后再试。"},
    {3112, "只能对自动 HP 或 MP 药水袋使用。"},
    {3120, "购买成功。\r\n你获得了 %d 冒险岛点数。"},
    {3121, "你已将 '%s' 的 %d 个 [%s] 作为礼物送出。\r\n你获得了 %d 冒险岛点数。"},
    {3125, "因角色当前正在装备该装备，\r\n无法取回。"},
    {3126, "该道具只能拥有\r\n一个。"},
    {3131, "雇佣商人"},
    {3136, "%s 的雇佣商人"},
    {3138, "%s 的雇佣商人 : %s"},
    {3139, "已过营业时间，\r\n商店将关闭。"},
    {3141, "如果背包中没有可存放该道具的栏位，\r\n该道具只能通过商店银行 NPC 弗里德取回。\r\n要关闭商店吗？"},
    {3142, "维护期间无法出售道具。\r\n确定要开始商店维护吗？"},
    {3143, "商店主人正在进行\r\n商店维护。\r\n请稍后再试。"},
    {3144, "商店已关闭 / %02d : %02d"},
    {3145, "你的商店正在频道 %s、自由市场 %d 营业。\r\n请在关闭商店后使用。"},
    {3146, "另一个角色正在使用该道具。\r\n请换一个角色登录并关闭商店，或清空商店银行。"},
    {3149, "请在自由市场从弗里德处取回道具后再使用。"},
    {3150, "已售出的道具会从列表中划去，同时可以取回销售款。"},
    {3151, "道具和金币均已成功取回。"},
